keyword;id;identifier;language_ISO;topics_level_1;topics_level_2;LGBTIQ_keywords;sentiment;translation
bisexuality;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
discrimination;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;0;
discrimination against homosexuals;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;1;0;
gender identity;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;0;1;
health;2;FSD-2924;eng;04 HEALTH;04_03 General health and well-being;0;1;
homosexuality;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
mental health;2;FSD-2924;eng;04 HEALTH;04_03 General health and well-being;0;1;
sexual behaviour;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual health;2;FSD-2924;eng;04 HEALTH;04_09 Reproductive health;0;1;
sexual identity;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual minorities;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;1;
sexual orientation;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
transgender people;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;1;
transsexual;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;1;1;
youth;2;FSD-2924;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_12 Youth;0;1;
bisexuality;3;FSD-3020;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
childhood;3;FSD-3020;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_02 Children;0;1;
discrimination;3;FSD-3020;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;0;
homosexuality;3;FSD-3020;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
minority groups;3;FSD-3020;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;0;1;
same-sex relationships;3;FSD-3020;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
sexual identity;3;FSD-3020;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual orientation;3;FSD-3020;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
youth;3;FSD-3020;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_12 Youth;0;1;
discrimination;4;FSD-2798;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;0;
homosexuality;4;FSD-2798;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
interpersonal relations;4;FSD-2798;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
same-sex relationships;4;FSD-2798;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
sexual behaviour;4;FSD-2798;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual identity;4;FSD-2798;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual orientation;4;FSD-2798;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
social behaviour;4;FSD-2798;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
social environment;4;FSD-2798;eng;16 SOCIETY AND CULTURE;16_01 Community, urban and rural life;0;1;
bisexuality;5;FSD-3180;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
children;5;FSD-3180;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_02 Children;0;1;
civil partnerships;5;FSD-3180;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;1;1;
divorced;5;FSD-3180;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;0;
female homosexuality;5;FSD-3180;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
homosexuality;5;FSD-3180;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
minority groups;5;FSD-3180;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;0;1;
parental role;5;FSD-3180;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
partnerships (personal);5;FSD-3180;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
same-sex relationships;5;FSD-3180;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
sexual identity;5;FSD-3180;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
homosexuality;6;FSD-2308;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
minority groups;6;FSD-2308;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;0;1;
partnerships (personal);6;FSD-2308;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
same-sex relationships;6;FSD-2308;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
sexual identity;6;FSD-2308;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
social history;6;FSD-2308;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
tolerance;6;FSD-2308;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
homosexuality;7;FSD-2291;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
minority groups;7;FSD-2291;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;0;1;
partnerships (personal);7;FSD-2291;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
same-sex relationships;7;FSD-2291;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
sexual identity;7;FSD-2291;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual orientation;7;FSD-2291;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
social history;7;FSD-2291;eng;05 HISTORY;05_55 Other (Term introduced by authors);0;1;
tolerance;7;FSD-2291;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
bisexuality;8;FSD-2818;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
career;8;FSD-2818;eng;07 LABOUR AND EMPLOYMENT;07_02 Employment;0;1;
discrimination;8;FSD-2818;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;0;
equal opportunity;8;FSD-2818;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;1;
homosexuality;8;FSD-2818;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
occupational life;8;FSD-2818;eng;07 LABOUR AND EMPLOYMENT;07_07 Working conditions;0;1;
sexual identity;8;FSD-2818;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual orientation;8;FSD-2818;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
working conditions;8;FSD-2818;eng;07 LABOUR AND EMPLOYMENT;07_07 Working conditions;0;1;
bisexuality;9;FSD-2796;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
career;9;FSD-2796;eng;07 LABOUR AND EMPLOYMENT;07_02 Employment;0;1;
discrimination;9;FSD-2796;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;0;
employees;9;FSD-2796;eng;07 LABOUR AND EMPLOYMENT;07_02 Employment;0;1;
equal opportunity;9;FSD-2796;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;1;
gender;9;FSD-2796;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;0;1;
homosexuality;9;FSD-2796;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
labour and employment;9;FSD-2796;eng;07 LABOUR AND EMPLOYMENT;07_55 Other (Term introduced by authors);0;1;
minority groups;9;FSD-2796;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;0;1;
occupational life;9;FSD-2796;eng;07 LABOUR AND EMPLOYMENT;07_07 Working conditions;0;1;
sexual orientation;9;FSD-2796;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
career;10;FSD-2797;eng;07 LABOUR AND EMPLOYMENT;07_02 Employment;0;1;
discrimination;10;FSD-2797;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;0;
employees;10;FSD-2797;eng;07 LABOUR AND EMPLOYMENT;07_02 Employment;0;1;
equal opportunity;10;FSD-2797;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;1;
gender;10;FSD-2797;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;0;1;
gender identity;10;FSD-2797;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;0;1;
labour and employment;10;FSD-2797;eng;07 LABOUR AND EMPLOYMENT;07_55 Other (Term introduced by authors);0;1;
minority groups;10;FSD-2797;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;0;1;
occupational life;10;FSD-2797;eng;07 LABOUR AND EMPLOYMENT;07_07 Working conditions;0;1;
social inequality;10;FSD-2797;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;0;
transgender people;10;FSD-2797;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;1;
bisexuality;11;FSD-1253;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
homosexuality;11;FSD-1253;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
sexual behaviour;11;FSD-1253;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual identity;11;FSD-1253;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual minorities;11;FSD-1253;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;1;
sexual orientation;11;FSD-1253;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
bisexuality;12;FSD-1290;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
heterosexuality;12;FSD-1290;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
homosexuality;12;FSD-1290;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
sexual behaviour;12;FSD-1290;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual identity;12;FSD-1290;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual orientation;12;FSD-1290;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
bisexuality;13;FSD-1288;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
heterosexuality;13;FSD-1288;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
homosexuality;13;FSD-1288;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);1;1;
sexual behaviour;13;FSD-1288;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual identity;13;FSD-1288;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual orientation;13;FSD-1288;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
career;14;FSD-2819;eng;07 LABOUR AND EMPLOYMENT;07_02 Employment;0;1;
equal opportunity;14;FSD-2819;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;1;
gender;14;FSD-2819;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;0;1;
identity;14;FSD-2819;eng;16 SOCIETY AND CULTURE;16_03 Identity (Term introduced by authors. Replaces the narrower 'Culturan and national identity');0;1;
minority groups;14;FSD-2819;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;0;1;
occupational life;14;FSD-2819;eng;07 LABOUR AND EMPLOYMENT;07_07 Working conditions;0;1;
working conditions;14;FSD-2819;eng;07 LABOUR AND EMPLOYMENT;07_07 Working conditions;0;1;
gender expression;15;FSD-3524;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;0;1;
gender identity;15;FSD-3524;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;0;1;
interpersonal relations;15;FSD-3524;eng;16 SOCIETY AND CULTURE;16_06 Social behaviour and attitudes;0;1;
lgbtqi+;15;FSD-3524;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;1;1;
sexual behaviour;15;FSD-3524;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexual orientation;15;FSD-3524;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
support services;15;FSD-3524;eng;04 HEALTH;04_04 Health care services and policies;0;1;
santÇ;16;fr.cdsp.ddi.PresseGaie1995;fra;04 HEALTH;04_03 General health and well-being;0;1;
sexualitÇ;16;fr.cdsp.ddi.PresseGaie1995;fra;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
sexualitÇ;17;fr.cdsp.ddi.PresseGaie1993_en;fra;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
santÇ;18;fr.cdsp.ddi.PresseGaie1992_en;fra;04 HEALTH;04_03 General health and well-being;0;1;
sexualitÇ;18;fr.cdsp.ddi.PresseGaie1992_en;fra;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
santÇ;19;fr.cdsp.ddi.GPH1991;fra;04 HEALTH;04_03 General health and well-being;0;1;
sexualitÇ;19;fr.cdsp.ddi.GPH1991;fra;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
santÇ;20;fr.cdsp.ddi.GPH1990;fra;04 HEALTH;04_03 General health and well-being;0;1;
sexualitÇ;20;fr.cdsp.ddi.GPH1990;fra;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
santÇ;21;fr.cdsp.ddi.GPH1989;fra;04 HEALTH;04_03 General health and well-being;0;1;
sexualitÇ;21;fr.cdsp.ddi.GPH1989;fra;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
santÇ;22;fr.cdsp.ddi.GPH1988;fra;04 HEALTH;04_03 General health and well-being;0;1;
sexualitÇ;22;fr.cdsp.ddi.GPH1988;fra;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
santÇ;23;fr.cdsp.ddi.GPH1987;fra;04 HEALTH;04_03 General health and well-being;0;1;
sexualitÇ;23;fr.cdsp.ddi.GPH1987;fra;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
santÇ;24;fr.cdsp.ddi.GPH1985;fra;04 HEALTH;04_03 General health and well-being;0;1;
sexualitÇ;24;fr.cdsp.ddi.GPH1985;fra;14 SOCIAL STRATIFICATION AND GROUPINGS;14_10 Sexuality and sexual identity (Term introduced by authors to allow for distinction between keywords relating to gender and keywords relating to sexuality);0;1;
family life and marriage;25;ZA6057;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_07 Family life and marriage;0;1;
gender and gender roles;25;ZA6057;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_08 Gender and gender roles;0;1;
reproductive health;25;ZA6057;eng;04 HEALTH;04_09 Reproductive health;0;1;
specific diseases;25;ZA6057;eng;04 HEALTH;04_11 Specific diseases, disorders and medical conditions;0;0;
children;26;ZA8028;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_02 Children;0;1;
command;26;ZA8028;eng;11 POLITICS;11_01 Conflict, security and peace;0;1;
concentration camp;26;ZA8028;eng;05 HISTORY;05_01 Holocaust (Term introduced by authors);0;1;
criminal law paragraph;26;ZA8028;eng;08 LAW, CRIME AND LEGAL SYSTEMS;08_02 Legislation and legal systems;0;0;
date of birth;26;ZA8028;eng;01 DEMOGRAPHY (population, vital statistics, and censuses);01_55 Other (Term introduced by authors);0;1;
death;26;ZA8028;eng;19 OTHER;;0;0;
end of kz-detention;26;ZA8028;eng;05 HISTORY;05_01 Holocaust (Term introduced by authors);0;1;
incarceration date;26;ZA8028;eng;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;1;
length of police detention;26;ZA8028;eng;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;1;
length of previous convictions;26;ZA8028;eng;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;0;
manner of end;26;ZA8028;eng;19 OTHER;;0;1;
occupation;26;ZA8028;eng;07 LABOUR AND EMPLOYMENT;07_02 Employment;0;1;
place of incarceration.;26;ZA8028;eng;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;1;
reason for incarceration;26;ZA8028;eng;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;1;
religion;26;ZA8028;eng;16 SOCIETY AND CULTURE;16_05 Religion and values;0;1;
special position;26;ZA8028;eng;19 OTHER;;0;1;
crime and law enforcement;27;ZA7604;eng;08 LAW, CRIME AND LEGAL SYSTEMS;08_01 Crime and law enforcement;0;0;
equality;27;ZA7604;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;1;
inequality and social exclusion;27;ZA7604;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_05 Equality, inequality and social exclusion;0;0;
minorities;27;ZA7604;eng;14 SOCIAL STRATIFICATION AND GROUPINGS;14_09 Minorities;0;1;
society and culture;27;ZA7604;eng;16 SOCIETY AND CULTURE;16_55 Other (Term introduced by authors);0;1;
